Date,Open,High,Low,Close,Volume
03/04/2025 - 00:00,34.24563037463425,34.387726251739274,33.73407654407978,34.10353088378906,65896000
04/04/2025 - 00:00,32.90990878856175,33.16568208928789,32.0289006210912,32.729915618896484,87263200
07/04/2025 - 00:00,32.13310192284634,32.72991470663307,31.36577481457489,31.432086944580078,85724900
08/04/2025 - 00:00,31.924694241625048,32.15204908572082,30.200569809778358,30.31424903869629,62128500
09/04/2025 - 00:00,29.660599556852755,31.811018984931724,29.40482443639955,31.545766830444336,106391600
10/04/2025 - 00:00,31.26156950792603,31.280516347337223,29.556393712059904,29.58481216430664,71250600
11/04/2025 - 00:00,29.840589103032936,30.598444611473052,29.158519145436834,30.172151565551758,65329400
14/04/2025 - 00:00,30.882639301266153,31.14789143373494,29.783749741451288,30.0584716796875,56015200
15/04/2025 - 00:00,30.05847340995646,30.191099483825266,29.34798316782901,29.36693000793457,58276900
16/04/2025 - 00:00,29.641653768854844,29.812169909194527,29.224832320883106,29.36693000793457,73227700
17/04/2025 - 00:00,29.772826414762847,30.267907870524713,29.568968473423748,29.947561264038086,65752700
22/04/2025 - 00:00,29.899023852887055,30.335860991790444,29.44277317012997,30.015514373779297,41683900
23/04/2025 - 00:00,30.432936403814253,30.85035815124014,29.607800606757742,29.675752639770508,71566500
24/04/2025 - 00:00,29.908731583013004,29.93785467615614,29.18067091842079,29.53984832763672,61589200
25/04/2025 - 00:00,29.452479583819105,29.83107051999426,29.316575524998065,29.627214431762695,35581500
28/04/2025 - 00:00,29.66604448056258,29.87961012562846,29.365113259806296,29.510725021362305,27362000
29/04/2025 - 00:00,29.413649653227804,29.90873111966719,29.26803789287598,29.666044235229492,33041100
30/04/2025 - 00:00,29.52043262413221,29.68545978044638,29.083595489314114,29.11271858215332,52798300
02/05/2025 - 00:00,29.316576714850545,29.90873146057129,29.093303371441927,29.90873146057129,33146600
05/05/2025 - 00:00,29.67575185890742,29.724290346606505,28.79237174987793,28.79237174987793,59011700
06/05/2025 - 00:00,29.229208857447045,29.501016982123236,29.083595246023105,29.268037796020508,52751300
07/05/2025 - 00:00,29.41364986158168,29.41364986158168,29.02535121404161,29.40394401550293,35050400
08/05/2025 - 00:00,29.695166380611923,30.12229580203148,29.55926232215958,29.811655044555664,44665000
